आजको खबर के छ?	What's the news today?
तपाइँको साथु कहाँ हुनुहुन्छ?	Where is your brother?
मेरो साथु घरमा छन्।	My brother is at home.
मेरो साथु प्रिया हुन्।	My brother is प्रिया.
प्रिया मेरो साथु हो।	प्रिया is my brother.
तपाइँको साथु कहाँ हुनुहुन्छ?	Where is your brother?
मेरो साथु घरमा छन्।	My brother is at home.
मेरो साथु अमित हुन्।	My brother is अमित.
अमित मेरो साथु हो।	अमित is my brother.
तपाइँको साथु कहाँ हुनुहुन्छ?	Where is your brother?
मेरो साथु घरमा छन्।	My brother is at home.
मेरो साथु संजना हुन्।	My brother is संजना.
संजना मेरो साथु हो।	संजना is my brother.
तपाइँको साथु कहाँ हुनुहुन्छ?	Where is your brother?
मेरो साथु घरमा छन्।	My brother is at home.
मेरो साथु विक्रम हुन्।	My brother is विक्रम.
विक्रम मेरो साथु हो।	विक्रम is my brother.
तपाइँको साथु कहाँ हुनुहुन्छ?	Where is your brother?
मेरो साथु घरमा छन्।	My brother is at home.
मेरो साथु निशा हुन्।	My brother is निशा.
निशा मेरो साथु हो।	निशा is my brother.
तपाइँको साथु कहाँ हुनुहुन्छ?	Where is your brother?
मेरो साथु घरमा छन्।	My brother is at home.
